gene	WT MEP	&Delta;dam MEP	gap	WT IEP	&Delta;hilA IEP	&Delta;hilC IEP	&Delta;hilD IEP	&Delta;hilE IEP	gap	WT ESP	&Delta;hilD ESP	&Delta;barA-sirA ESP	&Delta;fliZ ESP	&Delta;fur ESP	&Delta;hfq ESP	gap	WT LSP	&Delta;rpoE LSP	&Delta;rpoS LSP	gap	WT InSPI2	&Delta;hilD InSPI2	&Delta;phoB-R InSPI2	&Delta;phoP-Q InSPI2	&Delta;ompR-envZ InSPI2	&Delta;slyA InSPI2	&Delta;ssrA InSPI2	&Delta;ssrB InSPI2	&Delta;ssrA-B InSPI2	&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;Common gene name	Gene Synonym	Type	Start position (4/74)	End position (4/74)	Strand	Product (EMBL DB)	4-74 ID	SL1344 Locus ID
yaiB	138	246		525	583	778	571	608		543	387	379	432	236	407		65	118	33		701	681	645	116	250	147	304	290	266	yaiB		CDS	436585	436851	+	conserved hypothetical protein	STM474_0398	SL1344_0378
apbA	35	35		44	37	51	40	37		26	27	25	26	22	28		11	14	4		29	25	30	17	22	25	21	17	17	apbA		CDS	486266	487177	-	2-dehydropantoate 2-reductase	STM474_0454	SL1344_0428
pagP	163	173		88	121	74	90	162		75	35	66	47	54	2		9	8	7		515	402	548	19	219	127	265	201	243	pagP		CDS	691643	692215	+	antimicrobial peptide resistance and lipid A acylation protein	STM474_0649	SL1344_0616
ybiJ	32	26		10	11	13	13	13		7	9	4	5	8	26		11	17	25		10	4	4	18	5	7	3	3	28	ybiJ		CDS	889717	889977	-	hypothetical exported protein	STM474_0849	SL1344_0799
bssS	231	227		169	151	321	190	127		225	259	336	201	261	1,187		103	128	67		157	110	155	205	197	148	187	163	146	bssS	yceP	CDS	1203793	1204050	-	conserved hypothetical protein	STM474_1157	SL1344_1098
pagC	16	29		172	187	55	20	451		973	49	54	196	591	6		45	58	2		2,128	1,404	1,627	5	191	3	291	235	269	pagC		CDS	1289191	1289661	+	outer membrane invasion protein (PagC)	STM474_1244	SL1344_1184
SL1344_1186	5	7		17	16	40	23	19		16	16	14	9	10	177		5	3	1		12	11	14	11	5	3	12	10	10	STM1250		CDS	1291945	1292217	+	hypothetical protein	STM474_1250	SL1344_1186
SL1344_1197	14	18		62	74	148	92	43		49	49	28	103	177	37		45	55	2		41	36	40	9	17	11	16	12	16	STM1261		CDS	1302170	1302496	+	conserved hypothetical protein	STM474_1261	SL1344_1197
sseG	6	8		14	12	8	12	13		8	10	7	6	10	6		2	2	4		129	74	120	8	5	7	5	7	5	sseG		CDS	1445606	1446295	+	Type III secretion system effector protein-modulates the positioning of the SCV	STM474_1411	SL1344_1339
ydgE	16	14		21	28	85	38	14		18	20	14	17	5	21		0	1	2		2	3	3	1	4	2	3	3	2	ydgE		CDS	1517453	1517782	+	hypothetical membrane protein	STM474_1491	SL1344_1413
steA	109	148		208	169	171	116	253		211	86	83	126	166	44		33	44	42		117	101	111	21	30	39	47	39	37	steA		CDS	1626357	1626989	-	Type III secretion system effector protein	STM474_1596	SL1344_1514
steB	4	6		42	7	8	4	69		140	4	12	18	32	14		10	11	7		29	26	19	20	12	18	11	12	11	steB		CDS	1676474	1676875	+	Type III secretion system effector protein		SL1344_1559
SL1344_1602	46	72		85	80	76	38	128		143	58	64	81	167	5		58	82	37		474	483	565	8	274	158	309	270	301	STM1672		CDS	1722495	1723607	+	hypothetical protein	STM474_1685	SL1344_1602
narK	1	2		16	8	6	4	16		41	50	69	36	32	2		8	9	4		3	4	4	2	2	7	4	5	4	narK		CDS	1819397	1820794	-	nitrite extrusion protein (nitrite facilitator)	STM474_1782	SL1344_1693
SL1344_1786	24	24		40	34	32	26	41		26	19	20	24	20	20		4	2	8		42	50	28	32	33	16	39	39	34	SL1786		CDS	1911711	1912187	+	hypothetical protein	STM474_1881	SL1344_1786
pagO	4	6		17	15	11	8	26		14	5	5	8	42	1		9	13	4		119	96	97	3	18	9	24	20	28	pagO		CDS	1917075	1917989	+	inner membrane protein (PagO)	STM474_1888	SL1344_1793
pagK	13	26		56	70	29	19	212		424	86	133	362	1,084	16		97	76	61		1,764	1,767	899	35	219	38	396	364	339	pagK		CDS	1920747	1920947	+	bacteriophage encoded pagK (phoPQ-activated protein)	STM474_1894	SL1344_1799
SL1344_1872	114	116		149	147	127	83	214		149	40	56	70	49	35		15	17	12		151	158	180	35	87	46	84	72	75	STM1939		CDS	1990157	1990462	-	Conserved hypothetical protein	STM474_1971	SL1344_1872
pmrD	328	394		690	661	529	463	917		368	233	271	236	373	55		28	32	21		751	648	773	36	308	292	362	350	279	pmrD		CDS	2409034	2409291	-	polymyxin B resistance protein	STM474_2400	SL1344_2273
virK	91	152		201	234	79	51	481		252	44	59	105	206	1		9	11	11		2,328	1,937	2,491	6	572	118	753	590	734	virK		CDS	2950949	2951878	+	virulence protein	STM474_2915	SL1344_2764
mig-14	177	164		253	289	162	98	487		265	70	61	135	202	1		6	7	15		1,342	1,260	1,363	8	603	65	643	560	635	mig-14		CDS	2952171	2953067	+	hypothetical transcriptional regulator	STM474_2916	SL1344_2765
tdcC	5	8		14	13	15	14	7		8	7	8	7	3	4		1	1	2		2	3	4	13	9	7	6	4	6	tdcC		CDS	3430739	3432070	-	threonine/serine transporter	STM474_3397	SL1344_3215
mgtB	5	6		4	5	6	6	6		3	4	4	4	3	3		1	1	1		10	9	7	3	6	4	5	4	5	mgtB		CDS	3982857	3985583	-	Magnesium transport ATPase, P-type 2	STM474_3937	SL1344_3728
hslS	206	79		273	264	459	734	21		46	46	97	28	23	37		5	3	10		75	69	76	63	60	61	59	42	63	hslS	ibpB	CDS	4030692	4031126	-	heat shock protein B	STM474_3984	SL1344_3775
cpxP	216	221		419	331	512	471	429		435	643	537	505	401	2,703		1,172	1,325	1,496		4	8	5	7	6	6	6	3	4	cpxP		CDS	4292034	4292534	+	extracytoplasmic stress protein for protein-mediated toxicities	STM474_4242	SL1344_4009
SL1344_4014	5	5		8	9	10	13	11		6	6	6	6	4	4		1	1	0		6	5	6	2	2	3	3	3	2	STM4065		CDS	4297043	4298377	+	hypothetical sugar transport protein	STM474_4247	SL1344_4014
SL1344_4015	8	6		9	11	10	10	10		5	4	5	5	4	3		0	0	0		5	5	5	1	2	1	2	2	2	STM4066		CDS	4298388	4299347	+	hypothetical carbohydrate kinase	STM474_4248	SL1344_4015
mgtA	6	11		7	10	7	9	10		6	7	5	4	2	3		1	2	1		5	6	6	3	6	5	6	5	5	mgtA		CDS	4720272	4722980	+	Mg(2+) transport ATPase, P-type	STM474_4654	SL1344_4387
AmgR	3	3		1	1	1	1	1		4	4	3	4	6	3		4	4	2		5	6	6	2	3	3	5	4	4	AmgR		sRNA	3985660	3986859	+			SL1344_AmgR
RyhB-1	125	43		22	18	25	18	19		32	88	31	27	18,662	4		3,750	3,577	235		28	28	31	31	23	50	29	27	19	SraI, IS176, RfrA		sRNA	3736723	3736818	-			SL1344_RyhB-1
RyhB-2	109	69		38	52	55	78	29		33	56	41	13	10,098	21		9,286	7,479	847		16	45	14	42	28	50	21	28	28	isrE, RfrB		sRNA	1309727	1309937	-			SL1344_RyhB-2
STnc740	58	87		81	84	88	74	131		108	143	146	145	248	10		141	174	122		110	133	186	127	136	250	176	190	141	STnc740		sRNA	2240283	2240366	-			SL1344_STnc740
dnaK	784	179		673	501	1,029	826	153		97	93	94	75	55	149		8	7	17		327	256	354	142	210	174	177	123	159	dnaK		CDS	11593	13509	+	Chaperone protein dnaK	STM474_0013	SL1344_0012
SL1344_0082	10	14		23	24	23	15	37		22	10	15	13	30	7		12	16	6		107	84	87	8	21	17	32	20	25	STM0081		CDS	94134	94550	+	probable secreted protein	STM474_0086	SL1344_0082
pagN	17	26		49	49	56	35	74		85	73	51	76	143	30		39	44	8		335	245	312	6	67	38	72	59	78	pagN		CDS	349371	350090	-	possible outer membrane adhesin	STM474_0321	SL1344_0302
htpG	770	197		417	399	733	606	63		58	48	57	50	20	116		2	2	3		155	138	184	128	172	144	112	76	121	htpG		CDS	543414	545288	+	heat shock protein HtpG	STM474_0507	SL1344_0480
ramA	15	22		21	22	13	19	25		16	21	25	21	9	32		5	5	3		7	4	6	4	3	5	3	4	3	ramA		CDS	638504	638845	+	transcriptional activator RamA	STM474_0601	SL1344_0569
kdpD	8	8		7	9	9	9	8		7	9	8	8	7	9		1	1	1		30	26	32	14	25	23	21	20	17	kdpD		CDS	766424	769108	-	sensor protein KdpD	STM474_0725	SL1344_0685
kdpC	7	6		6	7	7	9	7		4	3	6	4	3	6		0	1	1		27	30	26	13	24	19	17	18	20	kdpC		CDS	769105	769689	-	potassium-transporting ATPase C chain	STM474_0726	SL1344_0686
kdpB	0	1		1	1	1	1	1		1	1	1	1	1	1		0	0	0		29	34	33	12	25	21	23	21	21	kdpB		CDS	769698	771746	-	potassium-transporting ATPase B chain	STM474_0727	SL1344_0687
kdpA	1	0		0	0	0	1	0		0	0	0	0	0	0		0	0	0		42	38	47	19	44	31	32	28	29	kdpA		CDS	771767	773446	-	potassium-transporting ATPase A chain	STM474_0728	SL1344_0688
kdpF	0	2		0	1	1	0	1		1	1	1	1	1	0		4	3	1		221	232	233	123	209	258	161	185	160	kdpF		CDS	773446	773535	-	conserved sORF		SL1344_0688A
ydiR	6	6		5	6	5	6	8		5	3	3	4	10	1		1	1	1		34	24	30	1	11	4	13	12	11	ydiR		CDS	1390406	1391341	-	hypothetical electron transfer flavoprotein subunit	STM474_1358	SL1344_1287
sufA	31	23		16	10	26	20	9		8	10	7	11	52	2		57	71	23		13	12	11	3	4	14	5	3	5	sufA		CDS	1409167	1409535	+	conserved hypothetical protein	STM474_1373	SL1344_1303
ynhA	16	15		9	10	17	12	6		7	9	11	8	33	6		7	8	2		11	8	8	4	6	10	6	3	5	ynhA		CDS	1414270	1414686	+	conserved hypothetical protein	STM474_1378	SL1344_1308
